titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Listing visières de protection,recensement des projets de visières,SANTE,PROTECTION,LISTE/INITIATIVE,MAKERS/VISIERE,GROUPE,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
COVID19: développeurs/datascientistes - comment aider ?,Des développeurs et datascientistes se mobilisent pour aider dans la lutte contre le COVID19 (Coronavirus.) Cette page vous aide à vous y retrouver.,DATA,HELP/DEV,LISTE/INITIATIVE,STAT,INDIVIDU,,https://bzg.fr/covid19-developpeurs-datascientistes-comment-aider/,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_4.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Pad diverses Ressources COVID,-,INFOS,SCIENCE,LISTE/INITIATIVE,INFO,GROUPE,,https://etherpad.wikimedia.org/p/covid19resources,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_8.png?raw=true,-,,oui,en,JPy,NR,,OUI,
Makers for life,-,SANTE,-,INITIATIVE/DIY,RESPIRATEUR_VENTILATOR/MAKERS,GROUPE,,https://docs.google.com/document/d/16GDm0yiQM85stHgQlaYfPcS1Y6g9GwhGpb4Ofgsrmy8/edit,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Liste matériels DIY,-,SANTE,-,LISTE/INITIATIVE/DIY,DIY/MAKERS,-,,https://lite.framacalc.org/9fl0-8k1n6ifpms,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Makers projects,-,SANTE,-,LISTE/INITIATIVE/DIY,MAKERS,INDIVIDU,,"https://www.notion.so/af31d3adfff541a18dd6336e16fd223b?v=1d3b06185a42422f9515011cbad7af12
",,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Discord Makers,-,SANTE/HELP/DATA,-,GROUPE/LISTE/INITIATIVE,DIY/GEL/RESPIRATEUR/VISIERE/MASQUE_TISSU/MASQUE_I3D/MAKERS,INDIVIDU,,"https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view#
",,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
COVID data scraped,-,DATA,HELP/DEV,REPO/INITIATIVE/DATA,INFO,INSTITUTION,,https://github.com/lazd/coronadatascraper,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_4.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Slack covid ,-,SANTE,-,GROUPE/INITIATIVE,MAKERS,-,,"https://app.slack.com/client/TUU48M0T1/C0104ANKV4L/thread/C0104ANKV4L-1584868485.232300
",,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Civic tech Hub,-,SANTE,-,GROUPE/INITIATIVE,MAKERS,-,,https://docs.google.com/document/d/e/2PACX-1vS2p8BPJ5d0WcHxRAB0BWCv6fY2lgZPVanfZNqOX4z2e00cOEwPIWhlO5ZNlPb5Fe2Pva_c74leKrR2/pub,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
OMS infos,-,INFOS/DATA/SANTE,SCIENCE,MEDIA/INITIATIVE,INFO,INSTITUTION,OMS,https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Best pratices,-,INFOS/DATA/SANTE,SCIENCE,DATA/INITIATIVE,INFO,NR,,https://safecast.org/2020/03/best-practices-in-reference-to-covid-19,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
World in data - covid19,-,INFOS/DATA/SANTE,SCIENCE,DATA/INITIATIVE,INFO,-,,https://ourworldindata.org/coronavirus,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,en,JPy,NR,,OUI,
Groupe d’entraide international (kit de détection du SARS-CoV-2) https://app.jogl.io/project/118,-,HELP,,GROUPE/INITIATIVE,MAKERS,-,,https://app.jogl.io/project/118,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr/en/de,JPy,NR,,OUI,
Groupe d’entraide Maker sur Facebook Contact @ouam41 sur le discord,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE/MAKERS,GROUPE,,https://www.facebook.com/groups/1120744844933688,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Groupe entraide maker international (attention  tout n’est pas à prendre),-,HELP,,GROUPE/INITIATIVE,ENTRAIDE/MAKERS,GROUPE,,https://www.facebook.com/groups/670932227050506/about#_=_,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,en,JPy,NR,,OUI,
#COVID entraide info France,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,https://www.facebook.com/groups/208192820288100/,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
#COVID entraide France,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,tg://join?invite=Kd5EWxK0U1v0qbOffsqp0w,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
#COVID-ENTRAIDE,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,tg://join?invite=Kd5EW0kFszT96K7Q32Ohag,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
@corona live (France),-,HELP,,GROUPE/INITIATIVE,INFO,GROUPE,,https://webtelegram.us/#/im?p=@coronalive,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Logal Groupe Resources (UK),-,HELP,,GROUPE/DATA/INITIATIVE,ENTRAIDE,NR,,https://covidmutualaid.org/resources,,,-,-,-,-,NA,NA,NA,UK,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,en,JPy,NR,,OUI,
Groups inventory (USA) - COVID-19 Mutual Aid - ,,HELP,,LISTE/GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,https://itsgoingdown.org/c19-mutual-aid/,,,-,-,-,-,NA,NA,NA,USA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,en,CG,NR,,OUI,
Groups inventory  (Germany) -  COVID-19 local solidarity,,HELP,,LISTE/GROUPE/INITIATIVE,ENTRAIDE,NR,,https://listling.org/lists/pwfjfkpjmesjjinm/solidarische-nachbarschaftshilfe,,,-,-,-,-,NA,NA,NA,ALLEMAGNE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,,,oui,de,CG,NR,,OUI,
(Columbia) Mutual Aid,,HELP/INFO,,GROUPE/LISTE/INITIATIVE,ENTRAIDE,GROUPE,,https://actua.frenalacurva.net/,,,-,-,-,-,NA,NA,NA,COLOMBIE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,,,oui,es/fr,CG,NR,,OUI,
(China) Wuhan 2020 Open source community,,HELP/INFOS/DATA,,GROUPE/LISTE/INITIATIVE,MAKERS/INFO,GROUPE,,https://github.com/wuhan2020/wuhan2020/blob/master/README_EN.md,,,-,-,-,-,NA,NA,NA,CHINE,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,,,oui,ch/en,CG,NR,,OUI,
Groupe Discord Gel Hydro Alcoolique,,SANTE,,GROUPE/LISTE/INITIATIVE,GEL/MAKERS,GROUPE,,https://discordapp.com/channels/689048131253698563/689052206552580136,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,oui,fr,JPy,NR,,OUI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guide de création de gel hydroalcoolique,-,SANTE,HYGIENE,DIY,GEL,GROUPE,,https://pad.degrowth.net/pCCyDqYpTQqfoj2LabCevA#,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/2j28.png,,,,fr,JPy,NR,,OUI,
Breezy - the crisis emergency ventilator,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,,https://app.jogl.io/project/151,-,-,-,-,-,-,NA,NA,NA,NA,https://jogl-prod.s3.eu-west-3.amazonaws.com/variants/8AzCD71KREskUjKLMrW9wL6f/34a4d359c0e162b64dedc4c89206ed4d4d183a91f91b16fa08f1ccd897c7b65a?response-content-disposition=inline%3B%20filename%3D%22wave-vent.PNG%22%3B%20filename%2A%3DUTF-8%27%27wave-vent.PNG&response-content-type=image%2Fpng&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAVMSP7HGJPWU56E7B%2F20200329%2Feu-west-3%2Fs3%2Faws4_request&X-Amz-Date=20200329T003109Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=78949180bd6da381403a0032b0ab72a496518d90f4120402d8c245e6d06e94d4,,,,fr,JPy,NR,,OUI,
COVID-19 Medical Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,UNIVERSITY of WISCONSIN–MADISON Makerspace,https://making.engr.wisc.edu/shield/,-,-,-,-,-,-,NA,NA,NA,NA,https://making.engr.wisc.edu/wp-content/uploads/sites/1271/2020/03/Covid-19_Hero_1_v3-1.png,,,,fr,JPy,PARTIELLE,Il y a des personnels de santé dans l'équipe. ce n'est pas hyper clair si leur modèle est utilisé dans les hopitaux ou s'ils pointent celui dont ils s'inspirent. Ils cherchent des acteurs capable de produire en série.,OUI,
Low-cost & Open-Source Covid19 Detection kits,-,SANTE,HOPITAL,DIY,TESTKIT,ANONYME,,https://app.jogl.io/project/118,-,-,-,-,-,-,NA,NA,NA,NA,https://app.jogl.io/static/media/logo_img.70d01ace.png,,,,fr,JPy,NR,,OUI,
recettes de Gel par Femmes Actuelles,-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.femmeactuelle.fr/sante/sante-pratique/gel-hydroalcoolique-la-recette-pour-fabriquer-son-propre-desinfectant-pour-les-mains-2092084?fbclid=IwAR12LJF9yp88oF7hAzAPhsrZTzDE2Eq_oLIXNnQYGsTl-FDkN25DDq0V1B4,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/sadv.png,,,,fr,JPy,NR,,OUI,
Patron masque tissu réalisé par le CHU Grenoble,-,SANTE,HOPITAL,DIY/PRO,MASQUE_TISSU,ANONYME,,https://cdn.discordapp.com/attachments/689052155310506005/689112495134081063/faites_vos_masques_a_la_maison.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://pbs.twimg.com/profile_images/1189822878709112832/hpxqehRQ_400x400.jpg,Masque,,,fr,JPy,NR,?,OUI,
Masque de protection facial au projection faite avec une feuille A4 transparente,-,SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.thingiverse.com/thing:4147460,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/rhru.png,Protection,,,fr,JPy,NR,,OUI,
kit pour faire un masque en papier absorbant,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4218338,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/v8kz.png,Masque en sopalin MAIS avec accessoires,,,en/es/it,JPy,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
boitier Hepa customisable - pour valve de masque I3D,-,SANTE,HOPITAL,DIY,MASQUE_I3D/ACCESSOIRE,ANONYME,,https://www.thingiverse.com/thing:4196325,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/ci4n.png,Protection,,,fr,JPy,NR,,OUI,
Masque de protection avec 2 filtres,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4217534,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/mxkt.png,Masque,,,fr,JPy,NR,,OUI,
Savegrabber - permet d'ouvrir des portes  appyer des boutons,-,SANTE,PROTECTION,DIY,PORTE,ANONYME,,https://www.thingiverse.com/thing:4192643,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/7lf3.png,Protection,,,fr,JPy,NR,,OUI,
Masque jetable à base de filtre à café,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4199749,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/vyz8.png,Masque,,,fr,JPy,NR,,OUI,
Lunettes fabriquées à partir de bouteille,-,SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.instructables.com/id/Soda-Bottle-Safety-Goggles./,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/vog9.png,Protection,,,fr,JPy,NR,,OUI,
3D Printed Face Mask Buckle,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,Creality,https://www.thingiverse.com/thing:4187448/files,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/tsbw.png,Accessoire masque,,,en,CG,NR,,OUI,
