titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Ain'pression 3D,5 machines FDM  + matieres prrmère PLA   PETG   ABS   TPU,NUMERIQUE,PROTECTION,DIY,-,ENTREPRISE,,https://www.ainpression3d.com/,ainpression3d@gmail.com,0601795551,FDM,5 machines FDM  + matieres prrmère PLA   PETG   ABS   TPU,,,,,Belmont,France,,5 machines FDM  + matieres prrmère PLA   PETG   ABS   TPU,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
IPC,"FDM :
1 Blackbelt
1 Stacker S4XL
1 Markforged
1 BCN3D SigmaX
1 Roboze
SLA :
1 Formlabs Form 2
SLM :
EOS M270
EOS M290",NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://ct-ipc.com/,julien.bajolet@ct-ipc.com,0626608286,FDM  SLA  SLM,"FDM :
1 Blackbelt
1 Stacker S4XL
1 Markforged
1 BCN3D SigmaX
1 Roboze
SLA :
1 Formlabs Form 2
SLM :
EOS M270
EOS M290",,,,,Bellignat,France,,"FDM :
1 Blackbelt
1 Stacker S4XL
1 Markforged
1 BCN3D SigmaX
1 Roboze
SLA :
1 Formlabs Form 2
SLM :
EOS M270
EOS M290",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Ags fusion,2 machines EOS M290 et 1 SLM 280 HL,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.ags-fusion.fr,adrien.bellu@groupe-ags.com,0750146926,SLM,2 machines EOS M290 et 1 SLM 280 HL,,,,,Izernore,France,,2 machines EOS M290 et 1 SLM 280 HL,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
LAB01,1 anycubic + Zmorph + coordination makers allentours + fabrication découpe laser,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.lab01.fr,isabelle@lab01.fr,0671349024,FDM  Laser,1 anycubic + Zmorph + coordination makers allentours + fabrication découpe laser,,,,,Ambérieu en Bugey,France,,1 anycubic + Zmorph + coordination makers allentours + fabrication découpe laser,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Rousselet Centrifugation,"Machine d'usinage : tours et fraiseuses.
Dessinateurs Solidworks et See Electrical",NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.rousselet.fr,dlombard@rousselet.fr,0475692220,,"Machine d'usinage : tours et fraiseuses.
Dessinateurs Solidworks et See Electrical",,,,,Annonay,France,,"Machine d'usinage : tours et fraiseuses.
Dessinateurs Solidworks et See Electrical",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
ELCM3D,1x Form 2  1x Prusa I3 MK3  CNC 1000x750mm,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.elcm3d.fr,lefranc.edouard@elcm3d.fr,0610507419,SLA et FDM,1x Form 2  1x Prusa I3 MK3  CNC 1000x750mm,,,,,Istres,France,,1x Form 2  1x Prusa I3 MK3  CNC 1000x750mm,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
MISTRAS,1 imprimante Ultimaker 3,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,,anatole.bechet@mistrasgroup.com,0602186597,FDM,1 imprimante Ultimaker 3,,,,,Vitrolles,France,,1 imprimante Ultimaker 3,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
ProTubeVR,21 Prusa MK3s + 2 MK3s MMU (multi matierre),NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.protubevr.com,r.armand@protubevr.com,0953044314,FDM,21 Prusa MK3s + 2 MK3s MMU (multi matierre),,,,,Marseille,France,,21 Prusa MK3s + 2 MK3s MMU (multi matierre),https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
ICPS,"2 FDM 300X200X300mm
2 SLA
1 SLS PA12
1 unité de coulée sous vide",NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.icps3d.com,yannick.bonnet@icps3d.com,0651506370,FDM; SLA; SLS,"2 FDM 300X200X300mm
2 SLA
1 SLS PA12
1 unité de coulée sous vide",,,,,Aix-en-Provence,France,,"2 FDM 300X200X300mm
2 SLA
1 SLS PA12
1 unité de coulée sous vide",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
LILYLEARN,8 imprimantes 3D Ultimaker 2+ (223 x 223 x 305 mm),NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://lilylearn.com,contact@lilylearn.fr,0660202792,FDM,8 imprimantes 3D Ultimaker 2+ (223 x 223 x 305 mm),,,,,CAEN,France,,8 imprimantes 3D Ultimaker 2+ (223 x 223 x 305 mm),https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
